channel,title,processedTitle,titleTypes,duration,videoId
"啾啾鞋","Google Chrome恐龍小遊戲不為人知的祕密! 原來還可以替換角色! | 神扯電玩 第6集 | 啾啾鞋","Google Chrome恐龍小遊戲不為人知的祕密! 原來還可以替換角色!","驚嘆","6:13","besQJCZ20j4"
"啾啾鞋","他靠著偽造千萬美元假鈔翻身，從未被識破! 但最後又是如何被發現的呢? | 32街的偽鈔天才 | 啾讀。第50集 | 啾啾鞋","他靠著偽造千萬美元假鈔翻身，從未被識破! 但最後又是如何被發現的呢?","疑問 數據 轉折 驚嘆","19:55","9lKe9irDIDw"
"啾啾鞋","踩地雷比你想的要深奧許多! 世界紀錄只要0.49秒就完成! | 神扯電玩 第5集 | 啾啾鞋","踩地雷比你想的要深奧許多! 世界紀錄只要0.49秒就完成!","數據 驚嘆","12:49","ZOoXpoHpFHo"
"啾啾鞋","讓人工智慧玩捉迷藏，最後居然發展出連人類都想不到的策略!? | 一探啾竟 第80集 | 啾啾鞋","讓人工智慧玩捉迷藏，最後居然發展出連人類都想不到的策略!?","疑問 驚嘆","4:41","Z6fjTZAtziQ"
"啾啾鞋","矽谷「世紀騙局」！估值九十億美元的Theranos公司，如何半年內瞬間崩潰？| 惡血 Bad Blood | 啾讀。第46集 | 啾啾鞋","矽谷「世紀騙局」！估值九十億美元的Theranos公司，如何半年內瞬間崩潰？","疑問 數據 轉折","18:50","7SPY9098mQs"
"阿滴英文","阿滴英文｜這些常唸錯的品牌到底怎麼發音?【懶人包】","這些常唸錯的品牌到底怎麼發音?","疑問","7:15","8-kgAqtuqNM"
"阿滴英文","3個訣竅講出一口自然流利英文 // 3 Tips To Sound More Like A Native Speaker","3個訣竅講出一口自然流利英文","項目數","6:32","6JeTQb3YKYY"
"阿滴英文","完整・全解析最有效背單字法 // Comprehensive Method of Vocab Memorization","完整・全解析最有效背單字法","","11:44","gkVpNq4-wqs"
"阿滴英文","阿滴英文｜輕鬆改變五個發音讓你秒變英國腔!","輕鬆改變五個發音讓你秒變英國腔!","項目數 驚嘆","7:04","9tmJgnYxShs"
"Joeman","台灣無訊號的地方華為手機竟然還能打？Mate 60 Pro衛星通訊實測【Joeman】","台灣無訊號的地方華為手機竟然還能打？Mate 60 Pro衛星通訊實測","疑問","12:17","L_KtuPq_GGU"
"Joeman","75900元的奢華行動電源對決399元的平價行動電源！《Joe是要對決S2》Ep182【Joeman】","75900元的奢華行動電源對決399元的平價行動電源！","數據","27:24","8ijDQTWwm5M"
"Joeman","被中國媒體吹爆的手機！台幣4萬值嗎？華為Mate 60 Pro vs iPhone 15 Pro系列【Joeman】","被中國媒體吹爆的手機！台幣4萬值嗎？華為Mate 60 Pro vs iPhone 15 Pro系列","疑問 數據 驚嘆","28:35","cC0ZU5Y3lpg"
"Joeman","台中沒人開箱過的神秘破億豪宅！140坪只做2房是怎樣的體驗？由鉅大恆《Joe是要看房》ep.42","台中沒人開箱過的神秘破億豪宅！140坪只做2房是怎樣的體驗？","疑問 數據 驚嘆","29:16","OKdqEM0eNvk"
"志祺七七 X 圖文不符","抽太兇？泰國為何想禁「娛樂用大麻」？大麻合法化兩年，泰國變得怎麼樣了？｜志祺七七","抽太兇？泰國為何想禁「娛樂用大麻」？大麻合法化兩年，泰國變得怎麼樣了？","疑問","11:00","NDcrWnyb1oM"
"志祺七七 X 圖文不符","下班喝一杯，是老人才做的事？全球年輕世代飲酒率下滑！年輕人為何不愛喝酒了？｜志祺七七","下班喝一杯，是老人才做的事？全球年輕世代飲酒率下滑！年輕人為何不愛喝酒了？","疑問","10:46","kKL-sz4qtoI"
"志祺七七 X 圖文不符","低薪窮忙、買房無望...台灣年輕人「躺平」有理？經濟數據亮眼，為何許多人無感？《 蛤Huh? 》EP5｜志祺七七","低薪窮忙、買房無望...台灣年輕人「躺平」有理？經濟數據亮眼，為何許多人無感？","疑問 轉折","22:44","e4E10QJszvg"
"志祺七七 X 圖文不符","用了上千年卻完全放棄！韓國當年為何停用漢字、改用韓文？現在卻有漢字復興運動？｜志祺七七","用了上千年卻完全放棄！韓國當年為何停用漢字、改用韓文？現在卻有漢字復興運動？","疑問 轉折","11:12","egW77GWPIF0"
"志祺七七 X 圖文不符","不用微信、支付寶，在上海翻牆反共12年、連老婆都隱瞞的「編程隨想」，最後是怎麼落網的？《 左邊鄰居觀察日記 》EP 093｜志祺七七","不用微信、支付寶，在上海翻牆反共12年、連老婆都隱瞞的「編程隨想」，最後是怎麼落網的？","疑問 數據","11:29","onr-pqWS8oo"
"77老大","老人味、加齡臭改善攻略，泡澡多加一步驟，臭味立刻消除，家中有長輩必看！【77老大】","老人味、加齡臭改善攻略，泡澡多加一步驟，臭味立刻消除，家中有長輩必看！","","10:40","jIG30gZyqB8"
"77老大","早餐這樣吃，直接尺碼小兩號！小秘訣讓你月減3kg，直接瘦成一道閃電！【77老大】","早餐這樣吃，直接尺碼小兩號！小秘訣讓你月減3kg，直接瘦成一道閃電！","數據 驚嘆","11:18","xaeiDsIkAy0"
"77老大","懶人降脂法，體重-5kg、體脂-5%，只要2周超簡單，鮪魚肚變成六塊肌！【77老大】","懶人降脂法，體重-5kg、體脂-5%，只要2周超簡單，鮪魚肚變成六塊肌！","數據 驚嘆","13:34","sI7anZ1Hpc8"
"77老大","COSTCO必買好物！2023好市多超好吃、巨好用，永不後悔絕對回購！【77老大】","COSTCO必買好物！2023好市多超好吃、巨好用，永不後悔絕對回購！","驚嘆","23:15","xlAjtrGzmD4"
"77老大","粉刺清不掉？痘痘一直長？吃『它』超有效，大幅降低粉刺發生率！【77老大】","粉刺清不掉？痘痘一直長？吃『它』超有效，大幅降低粉刺發生率！","驚嘆","12:33","8qZ8oxArRFA"
"白癡公主","終於可以宣布：我演的電影上映了！｜白癡公主","終於可以宣布：我演的電影上映了！","","13:32","SXnAA8A5CvQ"
"白癡公主","超豪華！比學生套房還划算的度假村？退休後想每天住在這｜白癡公主","超豪華！比學生套房還划算的度假村？退休後想每天住在這","疑問 驚嘆","11:19","GlbrefQHjZQ"
"白癡公主","戒指卡到手直接發黑，該不會要截肢了吧...？｜白癡公主","戒指卡到手直接發黑，該不會要截肢了吧...？","","14:02","-PUe3Am6rLY"
"白癡公主","買了3000萬孝親房給媽媽｜白癡公主","買了3000萬孝親房給媽媽","數據","10:15","JF_xb3rutAI"
"HOOK","Ｏ人犯監獄三餐吃什麼？餐餐六道是去郊遊還是去被關？【料理史王#13】｜HOOK ft. Surfshark VPN","Ｏ人犯監獄三餐吃什麼？餐餐六道是去郊遊還是去被關？","疑問","29:53","X6_D_BZ-fuw"
"HOOK","英國食物真的蠻有自己想法的，還會魔改各國料理=.=【請放過亞洲】｜HOOK ft. Surfshark VPN 英國特輯#5","英國食物真的蠻有自己想法的，還會魔改各國料理=.=","","30:24","3VhTHBT3tiQ"
"HOOK","在英國搭到史上最雷商務艙，就算會被告還是要全部講出來【燒錢來吃#5】｜HOOK ft. Surfshark VPN 英國特輯#1","在英國搭到史上最雷商務艙，就算會被告還是要全部講出來","","23:44","sfoGN3QmiXs"
"HOOK","戰鬥民族三餐吃什麼？最悲慘的人吃最奢華的食物領最血汗的薪水！【料理史王#12】｜HOOK ft. 每天都想史","戰鬥民族三餐吃什麼？最悲慘的人吃最奢華的食物領最血汗的薪水！","疑問","24:40","XQG1DQs5ZOw"
"HOOK","去杜拜搭「頭等艙」順便喝醉，體驗被錢砸的感覺【燒錢來吃#4】｜HOOK ft. Surfshark VPN 杜拜特輯#1","去杜拜搭「頭等艙」順便喝醉，體驗被錢砸的感覺","","23:00","Jg17yjYGuIo"
"Rosalina's Kitchen 蘿潔塔的廚房","止咳妙方，免疫力ＵＰ！『超級洋蔥蘋果湯』感冒咳不停的朋友，熱熱喝，快快好！好喝又健康喔！","止咳妙方，免疫力ＵＰ！『超級洋蔥蘋果湯』感冒咳不停的朋友，熱熱喝，快快好！好喝又健康喔！","","3:51","w6l2reDSweA"
"Rosalina's Kitchen 蘿潔塔的廚房","兩種烤地瓜方法！健康減重。按照這樣吃，老公瘦了五公斤！","兩種烤地瓜方法！健康減重。按照這樣吃，老公瘦了五公斤！","數據 項目數 驚嘆","7:54","U2EE5wMJPvs"
"Rosalina's Kitchen 蘿潔塔的廚房","想不到吃什麼？就來簡單做這道『蝦仁豆腐羹燴飯』，保證吃到盤子見底！","想不到吃什麼？就來簡單做這道『蝦仁豆腐羹燴飯』，保證吃到盤子見底！","數據","6:21","Whgpq0bSZWc"
"Rosalina's Kitchen 蘿潔塔的廚房","吃過就回不去普通的醃蘿蔔了！！日式糖醋醃蘿蔔，超開胃！也適合搭配炸豬排、炸雞解膩！","吃過就回不去普通的醃蘿蔔了！！日式糖醋醃蘿蔔，超開胃！也適合搭配炸豬排、炸雞解膩！","驚嘆","8:00","96qz7CQpn7U"
"Rosalina's Kitchen 蘿潔塔的廚房","『簡單高麗菜料理』懶人的最愛～輕鬆無油煙、一鍋到底 高麗菜豬肉冬粉煲！一入口就停不下來的美味！","『簡單高麗菜料理』懶人的最愛～輕鬆無油煙、一鍋到底 高麗菜豬肉冬粉煲！一入口就停不下來的美味！","驚嘆","5:28","wiPMQe-jfrs"
"滴妹","住在阿爾卑斯山上！來歐洲體驗全新的生活 【歐洲奧地利EP1】 ♥ 滴妹","住在阿爾卑斯山上！來歐洲體驗全新的生活","驚嘆","9:03","J5oM2VLHFsE"
"滴妹","想了好幾年終於去做鼻子手術了...人生第一次全身麻醉好緊張！♥ 滴妹","想了好幾年終於去做鼻子手術了...人生第一次全身麻醉好緊張！","驚嘆","19:06","GxR332pHbns"
"滴妹","阿滴竟然同意拍這個影片?! 總消費金額$$扯到爆炸...!! ♥ 滴妹","阿滴竟然同意拍這個影片?! 總消費金額$$扯到爆炸...!!","驚嘆","12:48","g42mlckekPo"
"cheap","平心而論 【為什麼臺灣街景這麼醜?】 到底什麼是「中華民國美學」?","平心而論 【為什麼臺灣街景這麼醜?】 到底什麼是「中華民國美學」?","疑問","28:59","CA-EpOj72d4"
"cheap","交通局不要的文案~ 為什麼台灣人這麼愛騎機車? 【台灣機車史】","交通局不要的文案~ 為什麼台灣人這麼愛騎機車? 【台灣機車史】","疑問","21:30","rifnCyknbuM"
"cheap","騙局? 為什麼小時候說石油快用完了 現在卻越挖越多? 石油是怎麼被人類發現的?【石油的歷史】為什麼石油都在阿拉伯啊??","騙局? 為什麼小時候說石油快用完了 現在卻越挖越多? 石油是怎麼被人類發現的?【石油的歷史】為什麼石油都在阿拉伯啊??","疑問 轉折","18:59","jPqDwsgnTv8"
"cheap","三次單挑全歐洲 三次被打倒 每次都能滿血復活 【為什麼德國這麼強?】","三次單挑全歐洲 三次被打倒 每次都能滿血復活 【為什麼德國這麼強?】","疑問 數據 轉折","13:25","z0aERYmE-gU"
"cheap","歷史上真的有功夫嗎? 為什麼傳統武術無法實戰? 西洋拳法厲害的原因","歷史上真的有功夫嗎? 為什麼傳統武術無法實戰? 西洋拳法厲害的原因","疑問","14:37","twX8EX-scPI"
"好棒Bump","我潛入了股票報牌群組3個月！詐騙手法一次全解碼！【好棒Bump】【詐騙解碼】","我潛入了股票報牌群組3個月！詐騙手法一次全解碼！","數據","22:15","d-rv3Kx3554"
"好棒Bump","我被車手領走30萬！親自抓給你們看！【好棒Bump】","我被車手領走30萬！親自抓給你們看！","數據 驚嘆","16:59","2cbtmF9Db9c"
"好棒Bump","全部清台！這種夾iPhone 的娃娃機… 到底是不是騙人的？！【好棒Bump】","全部清台！這種夾iPhone 的娃娃機… 到底是不是騙人的？！","疑問","16:22","ehB9m_7N8ds"
"好棒Bump","我用數學公式破解賭場！玩21點算牌... 贏走300萬！【好棒Bump】【優勢玩家】","我用數學公式破解賭場！玩21點算牌... 贏走300萬！","數據 驚嘆","20:43","deaAMT211_Q"
"好棒Bump","在104找工作卻被仲介賣到杜拜！被迫成為詐騙集團幫兇！【好棒Bump】【詐騙解碼】","在104找工作卻被仲介賣到杜拜！被迫成為詐騙集團幫兇！","轉折 驚嘆","19:28","zF9qe5IYDH8"